name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Livechatprovide,https://www.nairaland.com/livechatprovide,,"August 09, 2018","12:07pm On Nov 16, 2018",,,,1 hour & 8 minutes,9,9
Goodnollytv,https://www.nairaland.com/goodnollytv,,"April 12, 2019","8:04am On Apr 17, 2019",,,,10 minutes & 37 seconds,2,0
Naijatastic,https://www.nairaland.com/naijatastic,,"January 24, 2017",10:37pm On Jul 26,https://naijatastic.com - Nigerian Platform To Showcase Your Music / Audio Sounds!!,,,7 days & 22 hours,124,34
olukiesy,https://www.nairaland.com/olukiesy,Ogun,"April 14, 2016",2:28pm On Jun 17,Update Hubs Naija,m,http://twitter.com/updatehubsnaija,3 days & 4 hours,306,216
giriraj98542,https://www.nairaland.com/giriraj98542,,"July 19, 2019","1:30pm On Nov 01, 2019",,,,2 hours & 48 minutes,25,0
SirLiquidGold,https://www.nairaland.com/sirliquidgold,In-between sun and Moon,"May 01, 2018",6:06am On May 01,Dreams Ambition and Love,,@couragekind,2 days & 21 hours,265,9
Coachii,https://www.nairaland.com/coachii,Kwara State,"April 25, 2009",2:25am On Apr 26,,m,Joy2real07@yahoo.com,23 hours & 17 minutes,18,0
ZzZzzzzzzzzzzzz,https://www.nairaland.com/zzzzzzzzzzzzzzz,,"October 08, 2019",4:15pm On Jul 04,Algorithms to the world ,,,3 days & 4 hours,426,15
Adunn1ade,https://www.nairaland.com/adunn1ade,canada montreal,"July 17, 2016",9:32pm,i love ❤ Montreal ,f,,4 months & 7 days,64,1
MarkScorze,https://www.nairaland.com/markscorze,,"January 09, 2020","3:09pm On Jan 20, 2020",,,,6 minutes & 42 seconds,2,1
Nelsonchia,https://www.nairaland.com/nelsonchia,,"January 09, 2020","7:39pm On Jan 14, 2020",,,,26 minutes & 26 seconds,2,0
Jonathanharold,https://www.nairaland.com/jonathanharold,United State,"January 14, 2020","7:43am On Mar 10, 2020",Ecommerce Blogs Publisher,m,,28 minutes & 16 seconds,1,0
Ishilove,https://www.nairaland.com/ishilove,That place between dreams and memories,"November 18, 2010",10:36pm,"For when God made a promise to Abraham, because He could swear by no one greater, He swore by Himself, saying, “Surely blessing I will bless you, and multiplying I will multiply you.”",,,1 year & 2 months,53912,397
ifyalways,https://www.nairaland.com/ifyalways,Ahia azu fridge. . .,"October 07, 2007","12:44pm On Nov 27, 2020",What do you see?,f,,6 months & 22 days,32633,48
ryanbabraham,https://www.nairaland.com/ryanbabraham,,"March 16, 2020","7:43am On Jun 29, 2020",,,,12 hours & 6 minutes,54,0
Omalicham48,https://www.nairaland.com/omalicham48,,"April 04, 2020","3:24pm On Mar 27, 2021",,,,3 hours & 41 minutes,87,1
Felincous,https://www.nairaland.com/felincous,Lagos Nigeria,"July 22, 2009",8:06pm On Jun 29,,m,waitin b dat?,1 month & 21 days,464,57
puritysmart,https://www.nairaland.com/puritysmart,"Oron, Aks","May 04, 2020","6:44pm On Aug 02, 2020","when there is life, there is hope",m,,1 hour & 35 minutes,10,0
DonX001,https://www.nairaland.com/donx001,,"January 12, 2015",10:29pm,Ruling the world.....1 step at a time.,,,6 months & 20 days,1500,5
Liftkid,https://www.nairaland.com/liftkid,Ozubulu,"June 14, 2015",6:43pm,"I fit lose everything, but I no fit lose HOPE",m,@RealLiftkid,3 months & 11 days,1298,103
feranmi2002,https://www.nairaland.com/feranmi2002,,"June 15, 2020","8:51am On Apr 04, 2021",,,,14 minutes,2,0
Ikeoluwacotez,https://www.nairaland.com/ikeoluwacotez,,"October 23, 2015","11:23pm On Jun 29, 2020",,f,,6 hours & 40 minutes,53,3
Suli1999,https://www.nairaland.com/suli1999,,"May 16, 2020",7:47pm On Jun 07,,,,3 hours & 14 minutes,133,5
