name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
stringa,https://www.nairaland.com/stringa,Planet Earth.,"March 04, 2017",10:46am,Why?,f,,1 day & 7 hours,55,12
Preccy1012,https://www.nairaland.com/preccy1012,,"May 18, 2022",10:57pm On Jul 27,"Script writer, content creator",f,@Preccy1012,14 hours & 35 minutes,55,9
KingIce101,https://www.nairaland.com/kingice101,,"March 22, 2018",8:27am On May 23,,,,5 days & 23 hours,17,8
youngaliwa,https://www.nairaland.com/youngaliwa,money,"August 09, 2017",8:10am,HONESTY is a very EXPENSIVE GIFT. Do not expect it from CHEAP PEOPLE...,m,,11 days & 22 hours,251,0
Daestro3,https://www.nairaland.com/daestro3,7,"May 17, 2022",12:49am On Jun 18,,,,1 day & 4 hours,64,5
frenchest,https://www.nairaland.com/frenchest,Lagos,"February 28, 2017",10:51am On Jul 21,,f,,2 hours & 2 minutes,23,9
Empressabbie,https://www.nairaland.com/empressabbie,"Isolo, Lagos","August 02, 2017",11:24am On Jul 26,Always be yourself,f,,17 days & 16 hours,542,105
GuestReader88,https://www.nairaland.com/guestreader88,,"November 16, 2021",7:41pm On Jul 23,,,,1 day & 8 hours,60,5
Yampotatocarrot,https://www.nairaland.com/yampotatocarrot,,"March 23, 2015",8:47pm,,m,,5 months & 9 days,3238,8
Yinkusgold,https://www.nairaland.com/yinkusgold,,"June 07, 2021",6:53pm On Jul 16,,,,3 days & 8 hours,299,0
Seniorwriter,https://www.nairaland.com/seniorwriter,ONLINE WORKSPACE,"July 13, 2019",10:52am,MONEY STOPS RUBBISH .....As a SeniorWriter i am open to consultations on all online writing deals kindly contact me via Facebook ID(SARAH ADAKAREN)      Best Seller For FANCY TRACKER DEVICES(Wristbands Wristwatches),m,Seniorwriter@AdarokarenO,3 months & 18 days,5686,6
Madibaestate162,https://www.nairaland.com/madibaestate162,,"November 20, 2021",12:08pm,Lanre Madiba,m,@madibaestate,4 hours & 18 minutes,14,10
Divepen1,https://www.nairaland.com/divepen1,,,,,,,,,0
zubike01,https://www.nairaland.com/zubike01,,,,,,,,,0
rachealfst,https://www.nairaland.com/rachealfst,,,,,,,,,0
TiffanyJ,https://www.nairaland.com/tiffanyj,,,,,,,,,0
SheWrites,https://www.nairaland.com/shewrites,,,,,,,,,0
kingokoh,https://www.nairaland.com/kingokoh,,,,,,,,,0
salubrious877,https://www.nairaland.com/salubrious877,,,,,,,,,0
Sandra23,https://www.nairaland.com/sandra23,,,,,,,,,0
Akposb,https://www.nairaland.com/akposb,,,,,,,,,0
kayo80,https://www.nairaland.com/kayo80,,,,,,,,,0
faari,https://www.nairaland.com/faari,,,,,,,,,0
connect14,https://www.nairaland.com/connect14,,,,,,,,,0
HotsButs,https://www.nairaland.com/hotsbuts,,,,,,,,,0
sablewriter,https://www.nairaland.com/sablewriter,,,,,,,,,0
shakespere,https://www.nairaland.com/shakespere,,,,,,,,,0
sosa993,https://www.nairaland.com/sosa993,,,,,,,,,0
Roc10,https://www.nairaland.com/roc10,,,,,,,,,0
noble4d,https://www.nairaland.com/noble4d,,,,,,,,,0
Jesse1991,https://www.nairaland.com/jesse1991,,,,,,,,,0
TONYE001,https://www.nairaland.com/tonye001,,,,,,,,,0
Abelosas222,https://www.nairaland.com/abelosas222,,,,,,,,,0
BiadeFolar,https://www.nairaland.com/biadefolar,,,,,,,,,0
Hiswordxray,https://www.nairaland.com/hiswordxray,,,,,,,,,0
dlawnoni,https://www.nairaland.com/dlawnoni,,,,,,,,,0
yewande1234,https://www.nairaland.com/yewande1234,,,,,,,,,0
firebaby,https://www.nairaland.com/firebaby,,,,,,,,,0
Irusota,https://www.nairaland.com/irusota,,,,,,,,,0
Iniamagha,https://www.nairaland.com/iniamagha,,,,,,,,,0
