name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
FreeStuffsNG,https://www.nairaland.com/freestuffsng,,"October 17, 2020",1:30am,FreeStuffsNG,,,2 months & 5 days,4419,59
AlphaTaikun,https://www.nairaland.com/alphataikun,NJ. AQI ,"November 24, 2021",1:47am,"Disruptive Innovation|Disruptive Strategy|MIT - Leadership & Innovation||Asset Class - Mets. Au[79] Ag[47] Pt[78] Pd[46] Rh[45]||[Be Inspired. The Science of 40Hz-528Hz]||Arturo Di Modica.""Bull of Wall Street""|| ",,,1 month & 1 day,1077,3
dante0147,https://www.nairaland.com/dante0147,,"November 25, 2018",12:39am,,,,1 month & 25 days,1278,6
Toneypen247,https://www.nairaland.com/toneypen247,,"June 02, 2022",9:22pm On Jul 25,Education is the ability to listen to almost anything without losing your temper or self-confidence.,m,,1 day & 21 hours,481,5
Backpedal,https://www.nairaland.com/backpedal,,"April 18, 2022",10:09pm On Jul 25,,,,3 days & 18 hours,269,0
Bizibi,https://www.nairaland.com/bizibi,nigeria,"July 20, 2013",10:14pm On Jul 25,,m,@alhjabk,4 months & 17 days,8674,1
Vopimasu,https://www.nairaland.com/vopimasu,,"July 25, 2022",12:06pm On Jul 25,,,,4 minutes & 26 seconds,4,0
081087n,https://www.nairaland.com/081087n,,"February 28, 2020",11:40pm On Jul 25,,f,,1 month & 27 days,413,7
Dikaveli,https://www.nairaland.com/dikaveli,Abuja,"February 22, 2019",3:46pm On Jul 25,I am dikaveli theory ,m,,8 days & 5 hours,426,0
PlayerMeji,https://www.nairaland.com/playermeji,Galaxy Ephesus,"December 22, 2015",10:37pm On Jul 25,"To whom much is given, much is expected ",,,3 months & 13 days,3479,7
Eddygourdo,https://www.nairaland.com/eddygourdo,lagos,"January 19, 2012",9:28pm On Jul 25,The good man just died. ,m,,4 months & 16 days,3275,187
Udemzy05,https://www.nairaland.com/udemzy05,,"April 10, 2022",10:22pm On Jul 25,,,,8 days & 20 hours,883,1
WhatCanIsay,https://www.nairaland.com/whatcanisay,,"October 21, 2020",10:20pm On Jul 25,,m,,1 month,1086,11
kenedy175,https://www.nairaland.com/kenedy175,in your head,"January 08, 2010",12:25am,,m,,6 months & 8 days,2593,14
OkCornel,https://www.nairaland.com/okcornel,The Eternal Heavens,"December 13, 2017",10:39pm On Jul 25,I have allegiance to no religion...only TRUTH & LOVE remains my watchword,m,,5 months & 24 days,8045,14
Jamesbiodun,https://www.nairaland.com/jamesbiodun,lagos,"January 23, 2016",8:04am On Jul 25,Positive~Vibes,m,jamesbiodun13,1 month & 16 days,3250,10
Niklaus398,https://www.nairaland.com/niklaus398,,"March 12, 2020",9:19pm On Jul 25,,,,1 day & 10 hours,87,2
