name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
XFrozen,https://www.nairaland.com/xfrozen,,"May 26, 2016","11:38am On Jun 21, 2021",,,,1 day & 9 hours,281,8
kokoo123,https://www.nairaland.com/kokoo123,,"June 19, 2017","4:59pm On Sep 22, 2020",,,,2 hours & 4 minutes,5,2
blessed97,https://www.nairaland.com/blessed97,,"October 09, 2016","3:09am On Jul 24, 2019",I am who God says I am,f,,1 day & 10 hours,3,0
mdee1,https://www.nairaland.com/mdee1,Earth,"April 30, 2010",11:32am On Feb 11,Do good and it will always follow you ,m,@sas0fficial,18 days & 13 hours,958,78
Laxy009,https://www.nairaland.com/laxy009,,"September 21, 2011",9:29pm,Quitters never win and winner never quit,m,,3 months & 24 days,372,13
Pharmizzy,https://www.nairaland.com/pharmizzy,,"March 27, 2015",10:44am On May 26,,m,,8 days & 22 hours,46,0
Toshiba49ja,https://www.nairaland.com/toshiba49ja,,"December 07, 2016","4:34pm On Jun 08, 2021",With God All Things Are Possible.,m,,5 days & 15 hours,505,3
lordvictor,https://www.nairaland.com/lordvictor,Abuja.,"October 02, 2013",6:05pm On Jul 21,"If I don't Love JESUS, Whom will I love",m,,14 days & 23 hours,68,25
Godwin978,https://www.nairaland.com/godwin978,"Ikot Ekpene,AKWA IBOM","April 01, 2013","11:26pm On Mar 30, 2019",Every disapointment is a blessing,m,godwinobot1,1 month & 10 days,1685,98
Jaculze,https://www.nairaland.com/jaculze,Lagos,"May 11, 2017",10:00pm On Jun 09,Perseverance and Hardwork ,m,,5 days & 19 hours,964,23
INCREDIBLEGUY,https://www.nairaland.com/incredibleguy,,"July 24, 2014",10:17am On Jul 16,,,,21 days & 22 hours,491,30
Fayos1,https://www.nairaland.com/fayos1,kogi,"July 20, 2015",7:50pm,,m,@fayos1,1 month & 27 days,153,2
Respect55,https://www.nairaland.com/respect55,"Ebonyi state,Nigeria","November 21, 2012",11:10am,Research is what i'm doing when i'm doing nothing. ,m,@resrect22 ,3 months & 15 days,3193,44
missyojo,https://www.nairaland.com/missyojo,Abuja,"May 10, 2016",1:45pm,with God all things are possible,f,,2 months & 19 days,864,11
gbolio4,https://www.nairaland.com/gbolio4,United Kingdom,"December 17, 2005",11:28pm On Jul 25,Web Developer @ SyberPlus Online,m,@syberplus,1 month & 12 days,267,20
zaiinneeii,https://www.nairaland.com/zaiinneeii,lagos state,"May 29, 2013",10:05pm On Jul 26,,f,@zanny4lady,1 month & 19 days,118,3
5Realms,https://www.nairaland.com/5realms,Lagos,"July 09, 2016","6:12pm On Dec 06, 2017",All Saints have a Past and all Sinners have a Future.,m,,3 days & 17 hours,83,17
imsirkay,https://www.nairaland.com/imsirkay,Lagos ,"August 20, 2015",8:22pm On Jul 24,Never let your failures get to your heart and never let your success get to your head.,m,,1 month & 23 days,285,20
LizzyWiz,https://www.nairaland.com/lizzywiz,Ph,"October 09, 2017","1:29pm On Jul 01, 2018",Everyday counts in your task ,f,,2 days & 14 hours,515,15
pharmtasy,https://www.nairaland.com/pharmtasy,,"July 05, 2015",8:12pm On Jul 25,,m,,18 days & 23 hours,1143,0
nightbuzzer,https://www.nairaland.com/nightbuzzer,,"October 02, 2017",6:24pm On Jul 14,,,,2 days & 16 hours,353,16
mifavour,https://www.nairaland.com/mifavour,bermuda triangle ,"November 21, 2013",7:05pm On Jul 11,#instagram baebee_gal,f,,1 month & 4 days,1031,11
Dan42,https://www.nairaland.com/dan42,krypton.,"September 22, 2011","12:27am On Oct 21, 2018",Be real.,m,ask,29 days & 6 hours,646,34
Saliman22,https://www.nairaland.com/saliman22,Abuja,"March 13, 2012",8:35pm,love naija,m,,2 months & 4 days,222,36
kingnas,https://www.nairaland.com/kingnas,abuja,"May 05, 2015","1:05pm On Jun 06, 2021","when the going gets though... Only the though gets going. Believe in Allah, do your best and leave the rest.",m,,13 days & 4 hours,183,51
abimbawealth,https://www.nairaland.com/abimbawealth,"Ibadan, Nigeria","September 18, 2014",10:55pm On Jun 29,Happiness over Everything,f,@abimbawealth,2 months & 15 days,3019,5
Daporeals,https://www.nairaland.com/daporeals,Nigeria,"May 21, 2010",11:56am On Feb 05,,m,oluwasegzy,1 month & 24 days,197,6
amicable09,https://www.nairaland.com/amicable09,"Nigeria,lagos","November 08, 2009","2:41pm On Jun 29, 2021","While integrity is good and people value it, what I value is way beyond that.",f,,3 months & 19 days,5853,9
Dreydoe,https://www.nairaland.com/dreydoe,Lagos!,"June 16, 2016",12:55am,,m,,1 month & 26 days,1398,21
Toyorsih,https://www.nairaland.com/toyorsih,Uyo,"May 11, 2012",4:29pm On Jul 21,All is well,m,dr_toyorsih,1 month & 4 days,1347,9
Alphaman007,https://www.nairaland.com/alphaman007,,"September 10, 2017",5:01pm,,,,3 months & 7 days,430,18
cisse950,https://www.nairaland.com/cisse950,,"April 24, 2017",10:56pm On Apr 18,,,,2 days & 2 hours,31,4
