name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
pocohantas,https://www.nairaland.com/pocohantas,Earth,"July 30, 2014",10:40pm,,f,,10 months & 6 days,26448,128
tensazangetsu20,https://www.nairaland.com/tensazangetsu20,,"July 29, 2016",11:19pm,,m,,1 year & 7 months,5818,94
2buffagain,https://www.nairaland.com/2buffagain,TX,"February 16, 2016",11:21pm,,m,,1 month & 21 days,2614,124
VeryWickedMan,https://www.nairaland.com/verywickedman,,"February 09, 2022",9:55pm,,,,9 days & 11 hours,1316,33
DrLevi,https://www.nairaland.com/drlevi,,"September 26, 2018",10:02pm,,,,2 months & 12 days,834,3
chatinent,https://www.nairaland.com/chatinent,,"September 01, 2017",10:50pm,"I will write your assignments, thesis, dissertations and statistical analysis. We submit with a quality zero-plagiarized work with a Turnitin report. Affordable and professional delivery. • https://www.yourresearchwriter.com",m,All social media: @chatinent.    Website: www.yourresearchwriter.com,3 months & 16 days,25862,624
jesmond3945,https://www.nairaland.com/jesmond3945,,"July 23, 2018",11:22pm,,,,5 months & 5 days,6016,4
SavageBoy,https://www.nairaland.com/savageboy,,"February 04, 2019",11:22pm,,,,1 month & 21 days,670,20
The5DME,https://www.nairaland.com/the5dme,,"January 02, 2021",10:18pm,Weakness must be eliminated,m,,2 months & 6 days,2997,83
folake4u,https://www.nairaland.com/folake4u,Towards the Sun,"September 27, 2017",11:07pm,Pure vibes,f,,3 months & 20 days,5515,4
Myzubby,https://www.nairaland.com/myzubby,,"December 27, 2018",9:46pm,Smart,m,,1 month & 3 days,801,32
GloriousGbola,https://www.nairaland.com/gloriousgbola,,"February 26, 2022",10:53pm,. ,,,1 month & 29 days,3599,2
izzou,https://www.nairaland.com/izzou,Lagos ,"April 30, 2016",10:37pm,,m,,11 months & 14 days,16792,30
DannyWalker,https://www.nairaland.com/dannywalker,Earth ,"January 01, 2019",10:30pm,,,,3 days & 23 hours,310,23
MeghaneMorgane,https://www.nairaland.com/meghanemorgane,,"February 12, 2021",6:57pm,,f,,16 days & 17 hours,771,4
thebosstrevor1,https://www.nairaland.com/thebosstrevor1,,"August 31, 2020",11:04pm,Me First Before You ,,,1 month & 15 days,10935,294
SmartyPants,https://www.nairaland.com/smartypants,Abuja,"October 31, 2016",9:59pm,,m,,4 months & 11 days,5278,13
Kennietech,https://www.nairaland.com/kennietech,Ibadan Nigeria ,"January 03, 2022",1:15pm,"At Kennie Tech is world class IT company , we offer series of services ranging from Web development & Design , App creation & Submission , google adsense related services ...",m,Kennietech ,1 hour & 3 minutes,6,1
truthsayer009,https://www.nairaland.com/truthsayer009,"North London, England","July 02, 2017",4:55pm,,m,,1 month,4197,20
CSTRR,https://www.nairaland.com/cstrr,,"September 27, 2020",10:12pm,,,,1 month & 23 days,8920,6
Sheriman,https://www.nairaland.com/sheriman,Ore,"August 29, 2018",5:58pm,Sheriman,m,,3 months & 21 days,3718,14
Truth234,https://www.nairaland.com/truth234,,"August 26, 2014",9:02pm,,m,,7 months & 13 days,2262,648
Seniorwriter,https://www.nairaland.com/seniorwriter,ONLINE WORKSPACE,"July 13, 2019",11:12pm,MONEY STOPS RUBBISH .....As a SeniorWriter i am open to consultations on all online writing deals kindly contact me via Facebook ID(SARAH ADAKAREN)      Best Seller For FANCY TRACKER DEVICES(Wristbands Wristwatches),m,Seniorwriter@AdarokarenO,3 months & 18 days,5657,6
Jaqenhghar,https://www.nairaland.com/jaqenhghar,Shithole republic,"February 16, 2017",10:55pm,,,,3 months & 15 days,12538,5
kunleiky,https://www.nairaland.com/kunleiky,Ile-Ife,"October 25, 2017",9:44pm,The future we speak of is here.,m,ibikunlegabrie3,24 days & 5 hours,415,3
lexy2014,https://www.nairaland.com/lexy2014,,"September 09, 2014",11:08pm,,,,8 months & 17 days,38329,8
kunle75,https://www.nairaland.com/kunle75,,"August 30, 2007",10:42pm,,m,,5 months & 23 days,1694,45
Chidi2022,https://www.nairaland.com/chidi2022,What For????,"March 22, 2022",11:22pm,,f,I Don't Know How To Tweet,7 days & 20 hours,493,2
chiedozie198100,https://www.nairaland.com/chiedozie198100,,"January 23, 2018",10:46pm,,,,1 month & 26 days,2012,70
alakara,https://www.nairaland.com/alakara,ilorin,"July 19, 2013",7:25pm,change is inevitable.,m,,6 months & 12 days,1232,13
hooge,https://www.nairaland.com/hooge,,"December 13, 2021",5:26pm,,,,6 days,35,1
johnpablo541,https://www.nairaland.com/johnpablo541,,"November 08, 2014",11:22pm,,m,,16 days & 4 hours,999,2
cococandy,https://www.nairaland.com/cococandy,,"June 30, 2014",11:16pm,Misandry is a reaction to Misogyny ,f,,9 months & 1 day,34497,18
Macdon245295,https://www.nairaland.com/macdon245295,"Enugu, Nigeria","May 21, 2022",8:57pm,Never walk alone ❤️,m,,3 days & 7 hours,4,0
Jamesz12,https://www.nairaland.com/jamesz12,,"July 20, 2020",2:13pm,,,,27 days & 13 hours,232,20
Beautifulemi,https://www.nairaland.com/beautifulemi,,"April 29, 2013",2:53pm,Problems in life make our story sweeter. See all problems as a challenge.,f,,15 days & 20 hours,97,1
Zulu2022,https://www.nairaland.com/zulu2022,,"February 20, 2022",11:24pm,,,,18 days & 10 hours,953,1
donestk,https://www.nairaland.com/donestk,,"December 17, 2015",9:32pm,,m,,7 months & 8 days,1034,230
ComputipsTechDe,https://www.nairaland.com/computipstechde,,"May 11, 2022",11:13pm,,,,1 day & 4 hours,310,11
Dharmie02,https://www.nairaland.com/dharmie02,,"October 28, 2017",10:48pm,,,,1 month & 13 days,47,0
Iblex,https://www.nairaland.com/iblex,Lagos ,"October 24, 2021",2:19pm,Fell down# get up*,m,,8 days & 5 hours,2,0
Jobia,https://www.nairaland.com/jobia,,"January 19, 2016",10:26pm,,f,,6 months & 14 days,908,1
RepoMan007,https://www.nairaland.com/repoman007,,"November 04, 2020",8:39pm,,,,17 days & 19 hours,722,4
